"","year","month","day","n"
"893",2016,3,4,8
"894",2016,3,5,8
"895",2016,3,6,70
"896",2016,3,7,62
"897",2016,3,8,99
"898",2016,3,9,31
"899",2016,3,10,18
"900",2016,3,11,92
"901",2016,3,12,79
"902",2016,3,13,2
"903",2016,3,14,64
"904",2016,3,15,27
"905",2016,3,16,58
"906",2016,3,17,103
"907",2016,3,18,50
"908",2016,3,19,83
"909",2016,3,20,78
"910",2016,3,21,65
"911",2016,3,22,99
"912",2016,3,23,22
"913",2016,3,24,1
"914",2016,3,25,50
"915",2016,3,26,118
"916",2016,3,27,131
"917",2016,3,28,49
"918",2016,3,29,109
"919",2016,3,30,61
"920",2016,3,31,81
"921",2016,4,1,26
"922",2016,4,2,21
"923",2016,4,3,149
"924",2016,4,4,3
"925",2016,4,5,23
"926",2016,4,6,3
"927",2016,4,7,7
"928",2016,4,8,6
"929",2016,4,9,33
"930",2016,4,10,9
"931",2016,4,11,45
"932",2016,4,12,37
"933",2016,4,13,40
"934",2016,4,14,69
"935",2016,4,15,159
"936",2016,4,16,469
"937",2016,4,17,479
"938",2016,4,18,205
"939",2016,4,19,37
"940",2016,4,20,65
"941",2016,4,21,85
"942",2016,4,22,41
"943",2016,4,23,299
"944",2016,4,24,430
"945",2016,4,25,169
"946",2016,4,26,15
"947",2016,4,27,10
"948",2016,4,28,39
"949",2016,4,29,55
"950",2016,4,30,11
"951",2016,5,1,43
"952",2016,5,2,121
"953",2016,5,3,106
"954",2016,5,4,35
"955",2016,5,5,71
"956",2016,5,6,298
"957",2016,5,7,138
"958",2016,5,8,259
"959",2016,5,9,49
"960",2016,5,10,28
"961",2016,5,11,71
"962",2016,5,12,114
"963",2016,5,13,168
"964",2016,5,14,84
"965",2016,5,15,144
"966",2016,5,16,158
"967",2016,5,17,54
"968",2016,5,18,130
"969",2016,5,19,166
"970",2016,5,20,157
"971",2016,5,21,440
"972",2016,5,22,223
"973",2016,5,23,281
"974",2016,5,24,216
"975",2016,5,25,82
"976",2016,5,26,227
"977",2016,5,27,156
"978",2016,5,28,479
"979",2016,5,29,653
"980",2016,5,30,403
"981",2016,5,31,140
"982",2016,6,1,133
"983",2016,6,2,181
"984",2016,6,3,228
"985",2016,6,4,236
"986",2016,6,5,361
"987",2016,6,6,185
"988",2016,6,7,118
"989",2016,6,8,165
"990",2016,6,9,106
"991",2016,6,10,329
"992",2016,6,11,375
"993",2016,6,12,314
"994",2016,6,13,159
"995",2016,6,14,103
"996",2016,6,15,178
"997",2016,6,16,134
"998",2016,6,17,384
"999",2016,6,18,514
"1000",2016,6,19,366
"1001",2016,6,20,116
"1002",2016,6,21,225
"1003",2016,6,22,70
"1004",2016,6,23,210
"1005",2016,6,24,228
"1006",2016,6,25,446
"1007",2016,6,26,89
"1008",2016,6,27,161
"1009",2016,6,28,189
"1010",2016,6,29,260
"1011",2016,6,30,169
"1012",2016,7,1,248
